A	một
Bathymetry	phép đo sâu (của biển)
Bathyscaphe	cũng bathyscaph
Bathysphere	quả cầu rắn chắc có thể đặt xuống biển sâu để quan sát sự sống dưới biển, tiềm thủy cầu
Batik	(nghành dệt) lối in hoa batic (bằng cách bôi sáp lên những chỗ không muốn nhuộm màu)
Bating	trừ, trừ ra
Batiste	phin nõn
Batman	người phục vụ, cần vụ (của sĩ quan cấp cao)
Baton	dùi cui (cảnh sát)
Batrachian	(thuộc) ếch nhái
Bats	điên
Batsman	(thể dục,thể thao) vận động viên bóng chày, vận động viên crickê
Battalion	(quân sự) tiểu đoàn
Batten	ván lót (tường, sàn, trần)
Batter	(thể dục,thể thao) vận động viên bóng chày, vận động viên crickê|*  danh từ
Battered	méo mó, mòn vẹt
Battery	ắc quy
Battiness	xem batty
Batting	(thể dục,thể thao) sự đánh (bóng...) bằng gậy
Battle	chiến đấu
Battle cruiser	tàu chiến  tuần dương
Battle cry	giống như war cry
Battlecraft	tài nghệ chiến đấu
Battledore	(thể dục,thể thao) vợt chơi cầu lông
Battledress	quân phục
Battlefield	chiến trường
Battleground	(như) battlefield
Battlement	((thường) số nhiều) tường có lỗ châu mai
Battlements	tường có lỗ châu mai
Battler	xem battle
Battleship	(hàng hải) tàu chiến lớn
Battue	(săn bắn) sự săn đuổi
Batty	(từ lóng) điên dại, gàn
Batwing antenna	(tech) ăngten cánh dơi
Batwing dipole	(tech) ngẫu cực cánh dơi
Bauble	đồ trang sức loè loẹt rẻ tiền
Baud	(tech) bốt (số phần tử mã trong một giây)
Baud rate	(tech) tốc độ bốt, tốc độ truyền
Baulk	vật chướng ngại
Bauxite	(khoáng chất) bauxit
Bauxitic	xem bauxite
Bawbee	(ê-cốt) đồng trinh
Bawd	trùm nhà thổ
Bawdily	tục tựu
Bawdiness	sự thô tục, sự tục tựu
Bawdy	tục tĩu dâm ô
Bawdyhouse	nhà thổ
Bawl	tiếng nói oang oang
Bawler	xem bawl
Bay	bay
Bay leaf	lá nguyệt quế
Bay window	cửa sổ lồi (ra ngoài)
Bayadère	vũ nữ (ân nom gứ
Bayadre	vũ nữ (ân độ)
Bayberry	(thực vật) cây thanh mai
Bayesian techniques	(econ) kỹ thuật bayes.
Bayonet	lưỡi lê
Bayonet base	(tech) đui ngạnh
Bayonet socket	(tech) đui ngạnh
Bayou	nhánh sông
Bazaar	chợ (ở phương đông)
Bazan	da cừu thuộc bằng vỏ cây
Bazar	chợ (ở phương đông)
Bazooka	(quân sự) súng bazôca
Bcd	mã 2-10, mã bcd
Bcd	số thập phân biên mã nhị phân
Be	thì,là, bị, ở,được
Beach	bờ biển
Beach buggy	xe nhỏ có động cơ dùng để đua ở các bờ biển, đất hoang
Beach umbrella	dù che ở bãi biển
Beachhead	vị trí đổ bộ, đầu cầu đổ bộ
Beachwear	quần áo mặc để tắm biển
Beacon	đèn hiệu
Beacon fire	lửa hiệu
Beacon light	lửa hiệu
Bead	hạt hột (của chuỗi hạt)
Bead capacitor	(tech) bộ điện dung hình chuỗi
Bead transistor	(tech) đèn tinh thể hạt
Beading	sự xâu thành chuỗi
Beadle	(tôn giáo) thầy tử tế
Beadledom	thói hình thức ngu xuẩn, thói quan liêu giấy tờ
Beady	nhỏ như hạt, tròn nhỏ và sáng
Beagle	chó săn thỏ
Beagling	môn săn thỏ bằng chó
Beak	mỏ (chim)
Beaked	có mỏ
Beaker	cái cốc vại, cái chén tống
Beam	chùm tia
Beam angle	(tech) góc chỉ hướng, góc chùm
Beamwidth	(tech) độ rộng chùm
Beamy	to, rộng (tàu thuỷ)
Bean	hạt đậu
Bean pole	cọc cho đậu leo
Beanery	(từ mỹ,nghĩa mỹ),  (thông tục) quán ăn (rẻ tiền)
Beano	(từ lóng) (như) bean-feast
Bear	chịu
Bear's cub	gấu con
Bear's foot	cây trị điên
Bear's whelp	gấu con
Bearable	có thể chịu đựng được
Beard	râu
Bearded	có râu
Beardless	không có râu
Beardlessness	tình trạng không râu
Bearer	người đem, người mang, người cầm (thư, điện...)
Bearer bonds	(econ) trái khoán không ghi tên.
Bearer capability	(tech) khả năng bộ truyền tin
Bearer service	(tech) dịch vụ bộ truyền tin
Beargarden	cảnh ồn ào hỗn độn
Bearing	sự mang
Bearish	xấu tính, hay gắt, hay cau có
Bearishness	tính hay gắt, tính hay cau
Bearleader	người dạy gấu
Bears	(econ) người đầu cơ giá xuống.
Bearskin	da gấu
Beast	quái thú
Beastliness	sự tham ăn, tham uống
Beastly	như súc vật, thô lỗ, cục cằn
Beat	tiết tấu
Beat amplitude	(tech) biên độ phách
Beaten	đập, nện (nền đường...)
Beater	người đánh, người đập
Beatific	ban phúc lành
Beatification	sự ban phúc lành
Beatify	ban phúc lành
Beating	sự đánh, sự đập, sự nện
Beating oscillator	(tech) bộ dao động phách
Beatitude	phúc lớn
Beatnik	(từ mỹ,nghĩa mỹ) thanh niên lập dị chống lại những qui ước xã hội, híp pi
Beau	người đàn ông ăn diện
Beau ideal	cái đẹp lý tưởng
Beaufort scale	thang đo tốc độ gió từ 0 (tựnh lặng) đến 12 (bão)
Beaujolais	rượu vang nhẹ ở vùng beaujolais của pháp
Beauteous	(thơ ca) đẹp
Beautician	(từ mỹ,nghĩa mỹ) người chủ mỹ viện
Beautifier	người làm đẹp, người tô điểm
Beautiful	đẹp
Beautifully	tốt đẹp, đáng hài lòng
Beautify	làm đẹp, tô điểm
Beauty	sắc đẹp, vẻ đẹp
Beauty contest	cuộc thi sắc đẹp
Beauty queen	hoa hậu
Beauty salon	thẩm mỹ viện
Beauty spot	cảnh đẹp, thắng cảnh
Beaux	người đàn ông ăn diện
Beaver	(động vật học) con hải ly
Beavertail antenna	(tech) ăngten hình đuôi hải ly, ăngten (sóng) bình diện
Bebop	(từ mỹ,nghĩa mỹ) nhạc bibôp (một loại nhạc ja)
Becalm	làm yên, làm yên lặng, làm cho êm, làm cho dịu
Became	trở nên, trở thành
Because	bởi vì
Bechamel	nước xốt bêsamen
Beck	suối (ở núi)
Beckon	vẫy tay ra hiệu, gật đầu ra hiệu
Becloud	che mây
Become	trở nên
Becoming	vừa, hợp, thích hợp, xứng
Becquerel	đơn vị đo phóng xạ trong hệ thống đo lường quốc tế
Bed	Giường
Bedable	làm bẩn, vấy bẩn
Bedaub	vấy sơn, vấy bẩn, làm lem luốc
Bedder	người đánh luống
Bedding	bộ đồ giường (chăn, gối, nệm, khăn trải giường)
Bedeck	trang hoàng, trang trí
Bedel	người phụ trách tiếp tân
Bedevil	hành hạ, làm điêu đứng,áo ngủ (của nữ)
Bedevilment	sự bị thu mất hồn vía, sự bị ma trêu quỷ ám
Bedew	làm ướt đẫm
Bedfellow	bạn cùng giường
Bedgown	áo ngủ của nữ
Bedim	làm cho loà, làm cho mờ
Bedizen	tô son điểm phấn loè loẹt, cho ăn mặc loè loẹt
Bedlam	bệnh viện tinh thần, nhà thương điên
Bedlamite	người điên|*  tính từ
Bedouin	người a-rập du cư
Bedpan	bô (đi ỉa, đi đái của người ốm)
Bedpost	cột giường
Bedrabbled	vấy bùn
Bedraggle	kéo lê làm bẩn (áo, quần...)
Bedrail	thành giường
Bedridden	nằm liệt giường (vì ốm hay tàn tật)
Bedroll	giường xếp
Bedroom	phòng ngủ
Bedside	cạnh giường
Bedsore	(y học) chứng thối loét vì nằm liệt giường
Bedspread	khăn trải giường
Bedstead	khung giường
Bedtick	chăn lông phủ giường
Bedtime	giờ đi ngủ
Bee	con ong
Beeb	công ty phát thanh anh quốc (bbc)
Beech	(thực vật học) cây sồi
Beechen	(thuộc) cây sồi
Beef	thịt bò
Beef cattle	trâu bò vỗ béo (để ăn thịt)
Beef tea	nước thịt bò hầm
Beefburger	thịt bò băm viên
Beefeater	người thích ăn thịt bò
Beefiness	vẻ lực lưỡng, sự có bắp thịt rắn chắc
Beefsteak	thịt bít tết
Beefy	lực lưỡng, có bắp thịt rắn chắc
Beehive	tổ ong
Been	thì, là
Beep	(tech) tiếng bíp (phát từ máy)
Beeper	(tech) máy bíp, máy điện liên (liên lạc báo có điện thoại)
Beeper box	(tech) máy bíp, điện liên
Beer	bia
Beerhouse	quán bia
Beery	(thuộc) bia
Beestings	sữa non của bò mới đẻ
Beeswax	sáp ong
Beeswing	cặn rượu để lâu năm
Beet	(thực vật học) cây củ cải đường
Beetle	cái chày
Beetling	cheo leo, nhô ra
Beetroot	củ cải đường
Beeves	thịt bò
Beezer	(từ lóng) cái mũi
Befall	xảy đến, xảy ra
Befallen	xảy đến, xảy ra
Befell	xảy đến, xảy ra
Befit	thích hợp, hợp với
Befitting	thích hợp, hợp với
Befittingly	thích hợp, hợp cách
Befog	phủ sương mù
Before	trước
Beforehand	sẵn sàng trướcc
Befoul	làm nhơ bẩn, làm nhơ nhuốc (nghĩa đen) & (nghĩa bóng)
Befriend	đối xử tốt, đối xử như bạn
Beft	đới đai
Befuddle	làm ngớ ngẩn, làm đần độn, làm mụ đi
Beg	ăn xin
Begad	trời ơi! trời đất ơi!
Began	bắt đầu, mở đầu, khởi đầu
Begetter	người gây ra, người sinh ra
Beggar	người ăn mày, người ăn xin
Beggardom	giới ăn mày, những người ăn mày
Beggarliness	tình trạng nghèo nàn cơ cực
Beggarly	nghèo nàn, cơ cực
Beggary	cảnh nghèo khó xác xơ
Begin	bắt đầu
Begin block	(tech) khối bắt đầu
Begin column	(tech) cột bắt đầu
Begin window	(tech) bắt đầu cửa xổ
Beginner	người bắt đầu
Beginning	bắt đầu
Begird	buộc quanh, đánh đai quang, bao quanh
Begirt	buộc quanh, đánh đai quang, bao quanh
Begone	biến đi
Begonia	(thực vật học) cây thu hải đường
Begrime	làm nhọ nhem
Begrudge	ghen tị
Begrudgingly	ghen tị, thèm muốn
Beguiling	lý thú, hấp dẫn
Beguilingly	lý thú, hấp dẫn
Begum	người đàn bà hồi giáo thuộc đẳng cấp thượng lưu
Begun	bắt đầu, mở đầu, khởi đầu
Behalf	thay mặt
Behave	hành xử
Behavior	hành vi
Behaviour	thái độ, cách đối xử
Behavioural	thuộc về cách cư xử
Behaviourism	(triết học) chủ nghĩa hành vi
Behead	chặt đầu, chém đầu
Beheld	nhìn ngắm
Behemoth	con vật kếch xù
Behest	(thơ ca) chỉ thị, mệnh lệnh ((từ cổ,nghĩa cổ) (cũng) hest)
Behind	phía sau
Behindhand	muộn, chậm
Behold	nhìn ngắm
Beholden	chịu ơn
Beholder	người xem, người ngắm
Beige	vải len mộc
Being	đang
Bejewelled	được trang trí hoặc tô điểm bằng đồ châu báu
Bel	(tech) ký tự tiếng chuông
Belabour	đánh nhừ tử, nện một trận nên thân (nghĩa đen) & bóng
Belaid	cột (thuyền) lại
Belated	đến muộn, đến chậm
Belatedly	chậm, muộn
Belaud	hết lời ca ngợi, hết lời tán dương
Belay	cột (thuyền) lại
Belch	sự ợ
Belcher	khăn quàng hai màu
Beldam	mụ phù thuỷ già, mụ đồng gia
Beleaguer	vây, bao vây
Belemnite	(địa lý,địa chất) con tên đá (động vật hoá thạch)
Belfry	tháp chuông
Belgian	(thuộc) bỉ
Belie	gây một ấn tượng sai lầm
Belief	niềm tin
Belief revision	(tech) duyệt lại tín nhiệm (trí năng nhân tạo)
Believable	có thể tin được
Believably	đáng tin
Believe	tin
Believer	người tin, tín đồ
Belike	(từ cổ,nghĩa cổ) có lẽ, không chừng
Belisha beacon	cột có ánh sáng màu da cam nháy sáng ở đỉnh
Belittle	làm bé đi, thu nhỏ lại
Belittlement	sự xem nhẹ, sự xem thường
Belittling	làm giảm uy tín, làm giảm giá trị
Bell	chuông
Bell captain	người trực tầng ở khách sạn, câu lạc bộ
Belladonna	(thực vật học) cây benlađôn, cây cà dược
Belle	người đàn bà đẹp nhất, hoa khôi
Belletrist	nhà văn
Belletristic	(thuộc) văn chương
Bellicose	hiếu chiến, thích đánh nhau, hay gây gỗ
Bellicosity	tính hiếu chiến, tính thích đánh nhau, tính hay gây gỗ
Bellied	tính từ
Belligerence	tình trạng đang giao tranh
Belligerency	tình trạng đang giao tranh
Belligerent	tham chiến
Bellow	tiếng bò rống
Bellows	kêu
Belly	bụng
Bellyache	bệnh đau bụng
Bellybutton	rốn (ở bụng)
Bellyful	bụng (đầy)
Belong	thuộc về
Belongings	của cải
Beloved	được yêu mến, được yêu quý
Below	phía dưới
Belt	thắt lưng
Beltane	(sử học) ngày hội mồng 1 tháng 5 (theo kiểu cổ)
Belting	trận đòn
Belvedere	tháp lầu
Bemire	bôi bùn
Bemoan	than khóc, nhớ tiếc (ai, cái gì)
Bemuse	làm sửng sốt, làm kinh ngạc
Ben	đỉnh núi
Bench	Băng ghế
Bench dog	chó trưng bày, chó triển lãm
Benchmark	(tech) tiêu chuẩn, cơ chuẩn
Benchmark program	(tech) chương trình kiểm chuẩn
Benchmark test	(tech) thử chuẩn, kiểm chuẩn
Bend	bẻ cong
Bending	sự uốn
Bendy	(nói về đường sá) quanh co khúc khủyu
Beneath	ở trên
Benedick	người mới cưới vợ
Benedictine	thầy tu theo dòng thánh bê-nê-đích
Benediction	lễ giáng phúc
Benedictory	(thuộc) sự giáng phúc
Benefaction	việc thiện, việc nghĩa
Benefactor	người làm ơn
Benefactress	người làm ơn
Benefice	(tôn giáo) tiền thu nhập
Beneficence	tính từ thiện, từ tâm
Beneficent	hay làm phúc, hay làm việc thiện, từ thiện, từ tâm, thương người
Beneficently	hay làm phúc, từ thiện, từ tâm, thương người
Beneficial	có ích
Beneficially	hữu ích, ích lợi
Beneficiary	người hưởng hoa lợi
Benefit	lợi ích
Benevolence	lòng nhân từ, lòng nhân đức, lòng từ thiện
Benevolent	nhân từ, nhân đức, từ thiện, thương người
Benevolently	nhân hậu, nhân từ
Bengal	(thuộc) băng-gan
Bengal light	pháo hoa
Bengalee	(thuộc) băng-gan
Benifit	quyền lợi, lợi ích
Benighted	bị lỡ độ đường (vì đêm tối)
Benign	lành
Benignancy	lòng tốt, lòng nhân từ
Benignant	lành
Benignity	lòng tốt, lòng nhân từ
Benignly	nhân từ, nhân hậu, tử tế
Benison	(từ cổ,nghĩa cổ) sự ban ơn, sự ban phúc
Benjamin	(như) benzoin
Bent	khiếu, sở thích
Benthamism	thuyết ben-tam, thuyết vị lợi
Benthamite	người vị lợi
Benthos	(sinh vật học) sinh vật đáy
Benumb	làm cho cóng
Benzene	(hoá học) benzen ((cũng) benzol)
Benzoate	(hoá học) benzoat
Benzoic	(hoá học) benzoic
Benzoin	cánh kiến trắng, an tức hương
Benzol	(hoá học) benzen ((cũng) benzene)
Bequeath	để lại (bằng chúc thư)
Bequest	sự để lại (bằng chúc thư)
Berate	mắng mỏ, nhiếc móc
Berberis	(thực vật học) giống cây hoàng liên gai
Bere	(thực vật học) lúa mạch
Bereave	làm mất
Bereaved	gia quyến của người quá cố, tang quyến
Bereavement	sự mất, sự tổn thất (khi bà con hay bạn bè mất đi)
Bereft	làm mất
Beret	núi băng
Berg	(nam phi) núi, đồi
Bergamot	cam becgamôt
Beside	bên cạnh
Besides	ngoài ra
Besiege	(quân sự) bao vây, vây hãm
Besieger	người bao vây
Besmear	bôi bẩn, làm nhớp nháp
Besmirch	bôi bẩn, làm lem luốc
Besom	chổi sể
Besot	làm mụ người, làm đần độn
Besought	cầu xin, cầu khẩn, van xin
Bespangle	dát trang kim
Bespatter	rắc, vảy, làm bắn tung toé
Bespeak	đặt trước, giữ trước, đặt (hàng)
Bespectacled	đeo kính
Bespoke	đặt trước, giữ trước, đặt (hàng)
Bespoken	đặt trước, giữ trước, đặt (hàng)
Besprent	(thơ ca) rải rác
Besprinkle	vảy, rắc, rải
Best	tốt
Best approximation	(tech) ứớc lượng gần đúng nhất
Best girl	(thông tục) người yêu, người tình
Best linear unbiased estimator	(econ) (blue)-đoán số trùng tuyến tính đẹp nhất
Best looker	(từ mỹ,nghĩa mỹ),  (thông tục) chàng đẹp trai
Best man	người phù rể
Best seller	cuốn sách bán chạy nhất
Bestead	giúp đỡ, giúp ích cho
Bested	giúp đỡ, giúp ích cho
Bestial	(thuộc) súc vật, có tính súc vật
Bestiality	thú tính
Bestialize	làm thành cục súc, làm thành độc ác, làm cho dã man, làm cho có đầy thú tính
Bestially	thô lỗ, cộc cằn, hung tợn
Bestir	khuấy động
Bestow	bestow on,  upon tặng cho, ban cho, dành cho
Bestowal	sự tặng, sự cho
Bestrew	rắc, rải, vãi
Bestrid	ngồi giạng chân trên, đứng giạng hai chân trên
Bet	cá cược
Beta	thử nghiệm
Beta rays	tia bêta
Beta site	vị trí b-kiểm
Beta software	phần mềm beta
Beta test	b-kiểm, thứ kiểm
Betatron	bêtatron
Betel	cây trầu không
Bethel	nhà thờ của những người không theo quốc giáo
Bethink	nhớ ra, nghĩ ra
Bethought	nhớ ra, nghĩ ra
Betid	xảy đến, xảy ra
Betide	xảy đến, xảy ra
Betimes	sớm
Betoken	báo hiệu, chỉ rõ
Beton	bê tông
Betony	(thực vật học) cây hoắc hương
Betook	dấn thân vào, mắc vào, đam mê
Betrayal	sự phản bội
Betrothal	sự hứa hôn
Betrothed	người hứa hôn, chồng chưa cưới, vợ chưa cưới
Better	tốt hơn
Betterment	sự làm tốt hơn, sự cải tiến, sự cải thiện
Betting	sự đánh cuộc
Bettor	cấp so sánh của good
Between	giữa
Between girl	cô hầu phụ
Betwixt	(từ cổ,nghĩa cổ) (như) between
Bevel	góc xiên, cạnh xiên
Bevel gear	(cơ) bánh răng nón
Bevel pinion	(kỹ thuật) bánh răng nón
Beverage	đồ uống
Bevy	nhóm, đoàn, bầy (đàn bà, con gái)
Bewail	than phiền, than vãn, khóc than, thương tiếc
Beware	cẩn thận, chú ý
Bewilder	làm bối rối, làm hoang mang, làm lúng túng
Bewildering	gây bối rối, khiến hoang mang
Bewilderment	sự bối rôi, sự hoang mang
Bewitch	bỏ bùa mê
Bewitching	làm say mê, làm mê mẩn, làm say đắm
Bewitchment	sự bỏ bùa mê
Bewithchingly	quyến rũ, hấp dẫn
Bewray	(từ cổ,nghĩa cổ) vô tình mà tiết lộ
Bey	bây (thống đốc ở thổ nhĩ kỳ)
Beyond	vượt ra ngoài
Bezel	mép vát (kéo)
Bezier curve	đường cong bézier
Bezique	môn chơi bài dành cho hai người, và dùng cỗ bài đúp (64 lá)
Bfpo	quân bưu anh
Bhang	cây gai dầu
Bi	(tiền tố) hai
Biadaptive	(tech) thích ứng kép = backward learning
Biaffine	song afin
Biangular	có hai góc
Biannual	một năm hai lần
Bias	sự thiên vị
Bias binding	miếng vải cắt chéo để buộc các mép lại
Biased	(thống kê) chệch
Biasing	(tech) định thiên
Bib	cái yếm dãi (của trẻ con)
Bibber	người nghiện rượu
Bible	Kinh Thánh
Biblical	(thuộc) kinh thánh
Bibliofilm	phim sách (phim ảnh chụp lại sách)
Bibliograph	người sưu tầm thư mục, cán bộ thư mục
Bibliographer	người sưu tầm thư mục, cán bộ thư mục
Bibliographic	(thuộc) thư mục
Bibliographical	(thuộc) thư mục
Bibliography	thư mục
Bibliolater	người tôn sùng sách
Bibliolatry	sự tôn sùng sách
Bibliomania	bệnh mê sách
Bibliomaniac	người mê sách
Bibliophile	người ham sách
Bibliophilism	sự ham sách, tính ham sách
Bibliophilist	người ham sách
Bibliopole	người bán sách hiếm
Bibliopoly	nghề bán sách
Bicameral	có cả thượng nghị viện lẫn hạ nghị viện, lưỡng viện
Bicarb	<khngu> bicarbonat natri
Bicarbonate	(hoá học) cacbonat axit
Bicarmeral	có hai nghị viện (chế độ)
Bicategory	song phạm trù
Bicentenanial	lễ kỷ niệm hai trăm năm
Bicentenary	hai trăm năm
Bicentennial	hai trăm năm một lần
Bicephalous	có hai đầu
Biceps	(giải phẫu) có hai đầu
Bicharacteristic	song đặc trưng
Bichloride	(hoá học) điclorua
Bichromate	(hoá học) đicromat
Bicker	cãi nhau vặt
Bicompact	song compăc
Bicompactification	song compăc hoá
Bicompactum	song compăc
Bicomplex	song phức
Biconcave	(vật lý) hai mặt lõm
Biconical antenna	(tech) ăngten hai chóp
Biconjugate gradient method	(tech) phương pháp thang độ liên hợp song đối
Biconvex	(vật lý) hai mặt lồi
Biconvex lens	(tech) thấu kính hai mặt lõm
Bicuspid	có hai đầu nhọn
Bicycle	Xe đạp
Bicycler	(từ mỹ,nghĩa mỹ) (như) bicyclist
Bicyclist	người đi xe đạp
Bicylinder	song trụ
Bid	sự đặt giá, sự trả giá (trong một cuộc bán đấu giá)
Biddable	vâng lời, chịu tuân lệnh
Bidden	sự đặt giá, sự trả giá (trong một cuộc bán đấu giá)
Bidder	người trả giá
Bidding	sự đặt giá
Bide	to bide one's time đợi thời cơ
Bidet	chậu dùng để rửa bộ phận sinh dục và hậu môn
Bidirectional	(tech) thuộc song hướng, thuộc hai hướng
Bidual	(tech) song đối ngẫu
Biennial	lâu hai năm
Biennially	hai năm một lần
Bieqiuvalence	song tương đương
Bier	đòn đám ma
Bifactorial	hai nhân tố
Bifecnode	song flecnôt
Biff	(từ lóng) cú đấm mạnh
Biffin	táo đỏ (để nấu ăn)
Bifid	chẻ đôi
Bifilar	(tech) hai dây, dây chập đôi
Bifocal	hai tròng (kính đeo mắt)
Bifocals	kính hai tròng
Bifunctor	song hàm tử, hai tử hai ngôi
Bifurcate	chia hai nhánh, rẽ đôi
Bifurcation	chia làm hai nhánh, rẽ đôi
Big	lớn
Big blue	tên lóng của công ty máy tính ibm
Big brother	kẻ độc tài nhưng vẫn ra vẻ tử tế
Big bug	(từ lóng) nhân vật quan trọng
Big business	việc kinh doanh có quy mô lớn
Big dipper	đường sắt hẹp và quanh co (ở các hội chợ)
Big end	cái cán của tay quay
Big game	môn săn bắn những loại thú lớn
Big gun	(quân sự) pháo
Big head	(từ mỹ,nghĩa mỹ) người làm bộ, người tự phụ, người hay vỗ ngực ta đây
Big house	(từ mỹ,nghĩa mỹ),  (từ lóng) nhà tù khổ sai
Big noises	tiếng to, tiếng ầm ầm
Big push	(econ) cú đẩy mạnh.
Big shot	(từ lóng) (như) big_bug
Big stick	(từ mỹ,nghĩa mỹ) sự phô trương lực lượng
Big top	lều chính ở rạp xiếc
Big tree	(thực vật học) (từ mỹ,nghĩa mỹ) (như) sequoia
Big wheel	trò chơi đu quay ở các khu vui chơi
Bigamist	người có hai vợ, người có hai chồng
Bigamous	có hai vợ, có hai chồng
Bigamously	trong tình trạng song hôn
Bigamy	sự lấy hai vợ, sự lấy hai chồng
Bigenus	giống kép
Bight	chỗ lõm vào, chỗ cong (ở bờ biển)
Bigin	bắt đầu
Biginning	sự bắt đầu
Bigot	người tin mù quáng
Bigoted	tin mù quáng
Bigotry	sự tin mù quáng
Bigrade	song cấp
Bigwig	nhân vật quan trọng, quan to
Biharmonic	song điều hoà
Biholomorphic	song chỉnh hình
Bijection	song ánh
Bijou	đồ nữ trang
Bijoux	đồ nữ trang
Bike	xe đạp
Bikini	áo tắm hai mảnh
Bilabial	âm do hai môi nhập lại phát ra ((chẳng hạn b, m, p...))
Bilabiate	(thực vật học) hai môi (hoa)
Bilabong	nhánh sông tạo nên chỗ nước đọng
Bilateral	hai bên
Bilbo	(sử học) cái gươm
Bilboes	còng sắt, cùm sắt (để cùm tù nhân)
Bile	mặt
Bilevel resist	(tech) lớp cản hai cấp
Bilge	đáy tàu
Bilharzia	bệnh do giun ở trong máu và bàng quang gây ra
Biliary	(thuộc) mật
Bilinear	song tuyến tính
Bilinear system	(tech) hệ thống song tuyến
Bilingual	sử dụng hai thứ tiếng, thông thạo hai thứ tiếng, song ngữ
Bilious	(thuộc) mật
Biliously	hay gắt, bẳn tính, dễ cáu
Biliousness	sự nhiều mật
Bilk	quịt, trốn (nợ)
Bilker	người trốn nợ
Bill	hóa đơn
Bill of rights	bản tuyên ngôn nhân quyền
Bill of sale	văn bản ghi nhận việc mua bán tài sản tư nhân
Billboard	(từ mỹ,nghĩa mỹ) bảng dán thông cáo, bảng dán yết thị
Billboard antenna	(tech) ăngten bảng
Billet	thanh củi
Billhook	dụng cụ dùng để tỉa cây
Billiarsgate	chợ cá (ở luân đôn)
Billion	tỷ
Billionaire	(từ mỹ,nghĩa mỹ) nhà tỉ phú
Billow	sóng to
Billyboy	(hàng hải) thuyền buồm nhỏ
Billycock	mũ quả đưa
Bilobate	có hai thuỳ
Bilobed	có hai thuỳ
Bilocular	có hai ngăn
Bilologist	nhà sinh vật học
Biltong	thịt khô thỏi (thái thành từng thỏi)
Bilulous	thấm nước, hút nước
Bimanal	có hai tay
Bimane	động vật hai tay
Bimanous	có hai tay
Bimetal	lưỡng kim
Bimetallic	lưỡng kim
Bimetallism	chế độ hai bản vị (về tiền tệ)
Bimetallist	người tán thành chế độ hai bản vị (về tiền tệ)
Bimodal	hai mốt
Bimodule	song môđun
Bimonthly	mỗi tháng hai lần
Bimos integrated circuit	(tech) mạch tích hợp bimos
Bimotored	có hai động cơ (máy bay...)
Bin	thùng
Binariants	song biến thức
Binate	thành đôi, thành cặp
Binaural	(thuộc) hai tai
Binaural effect	(tech) hiệu ứng nghe hai tai
Bind	trói buộc
Binder	người đóng sách
Bindery	(từ mỹ,nghĩa mỹ) hiệu đóng sách
Binding	sự liên kết, sự ghép lại, sự gắn lại, sự trói lại, sự buộc lại, sự bó lại
Bindlestiff	(từ mỹ,nghĩa mỹ),  (từ lóng) kẻ lang thang, ma cà bông
Bindweed	(thực vật học) giống cây bìm bìm
Bine	(thực vật học) chồi
Binge	(từ lóng) cuộc chè chén say sưa
Bingo	một loại trò chơi cờ bạc
Binit	(tech) cơ số hai
Binnacle	(hàng hải) hộp la bàn
Binocular	hai kính mắt
Binoculars	ống nhòm
Binodal	(thuộc) nút kép
Binode	nút kép
Binomial	(tech) nhị thức
Binominal	(toán học) nhị thức
Binormal	phó pháp tuyến
Bint	(từ lóng) cô gái
Biochemical	(thuộc) hoá sinh
Biochemist	nhà hoá sinh
Biochemistry	hoá sinh
Biochip	(tech) chip sinh tính
Biocomputer	(tech) máy điện toán sinh tính
Biodegradable	có thể bị vi khuẩn làm cho thối rữa
Bioelectric	(tech) thuộc điện sinh vật
Bioelectricity	(tech) môn điện sinh vật
Bioelectronics	(tech) môn điện tử sinh vật
Biogenesis	thuyết phát sinh sinh vật
Biogenetic	(thuộc) thuyết phát sinh sinh vật
Biogenetical	(thuộc) thuyết phát sinh sinh vật
Biogeny	thuyết phát sinh sinh vật
Biogeography	ngành địa lý sinh vật
Biographer	người viết tiểu sử
Biographic	(thuộc) tiểu sử
Biographical	(thuộc) tiểu sử
Biographically	xem biographical
Biography	tiểu sử
Biologic	(thuộc) sinh vật học
Biological	sinh học
Biological control	sự diệt vật hại bằng phương pháp sinh học
Biologically	về mặt sinh học
Biologist	nhà nghiên cứu về sinh vật học
Biology	sinh học
Bioluminescence	sự phát quang sinh học
Bioluminescent	phát quang sinh học
Biomaterial	chất liệu làm những bộ phận nhân tạo trong cơ thể (gắn trực tiếp vào các mô sống)
Biomathematics	toán sinh
Biome	quần xã sinh vật
Biometric	(thuộc) sinh trắc học
Biometrical	(thuộc) sinh trắc học
Biometrically	xem biometrics
Biometrician	nhà sinh trắc học
Biometrics	sinh trắc học
Biometry	sinh trắc học
Bionic	có những bộ phận được điều khiển bằng điện tử|* danh từ, pl
Bionics	(sinh vật học) kỹ thuật
Bionomics	sinh thái học
Biophysical	(thuộc) lý sinh
Biophysically	xem biophysics
Biophysicist	nhà lý sinh
Biophysics	lý sinh
Biopic	phim về cuộc đời của một nhân vật có thật
Bioplasm	(sinh vật học) sinh chất
Biopsic	xem biopsy
Biopsy	(y học) sinh thiết
Biorhythm	nhịp sinh học
Biorthogonal	song trực giao
Biorthogonalization	sự song trực giao hoá
Biorythm	nhịp sinh học
Bios	hệ vào/ra cơ sở
Bioscience	sinh học
Bioscope	rạp chiếu bóng ở nam phi
Biosensor	(tech) đầu cảm thụ sinh vật
